# externalEventId;title;startAt;endAt;city;locationName;address;eventType;attendanceMode;organizer;sourceName;sourceUrl;tags;description;active
manual-2026-itsa;it-sa Expo&Congress 2026;2026-10-27T09:00:00+01:00;2026-10-29T17:00:00+01:00;Nuernberg;NuernbergMesse;Messezentrum 1, 90471 Nuernberg;CONFERENCE;OFFLINE;NuernbergMesse;Manual Events;https://www.itsa365.de/en;cybersecurity,it-security,networking;Trade fair and congress for IT security professionals.;true
manual-2026-powtech;POWTECH TECHNOPHARM 2026;2026-09-29T09:00:00+02:00;2026-10-01T16:00:00+02:00;Nuernberg;NuernbergMesse;Messezentrum 1, 90471 Nuernberg;CONFERENCE;OFFLINE;NuernbergMesse;Manual Events;https://www.powtech-technopharm.com/en;process-engineering,industrial-tech,automation;International exhibition for processing technology and industrial innovation.;true
manual-2026-sps;SPS Smart Production Solutions 2026;2026-11-24T09:00:00+01:00;2026-11-26T17:00:00+01:00;Nuernberg;NuernbergMesse;Messezentrum 1, 90471 Nuernberg;CONFERENCE;OFFLINE;Mesago Messe Frankfurt;Manual Events;https://sps.mesago.com/nuernberg/en.html;automation,industrial-ai,industry-4-0;Automation trade fair focused on digital production and industrial AI.;true
manual-2027-embedded-world;embedded world 2027;2027-03-16T09:00:00+01:00;2027-03-18T17:00:00+01:00;Nuernberg;NuernbergMesse;Messezentrum 1, 90471 Nuernberg;CONFERENCE;OFFLINE;NuernbergMesse;Manual Events;https://www.embedded-world.de/en;embedded,software,hardware,iot;Exhibition and conference for embedded systems and connected devices.;true
manual-2027-vocatium-wue-sw;vocatium Wuerzburg Schweinfurt 2027;2027-06-15T08:30:00+02:00;2027-06-16T14:45:00+02:00;Wuerzburg;tectake ARENA Wuerzburg;Stettiner Strasse 1, 97072 Wuerzburg;NETWORKING;OFFLINE;IfT Institut fuer Talententwicklung;Manual Events;https://www.vocatium.de/messen/info/vocatium-wuerzburgschweinfurt;career,students,technology-companies;Career fair with regional employers, universities and technical companies.;true
manual-2026-parentum-wue;parentum Wuerzburg 2026;2026-11-13T14:00:00+01:00;2026-11-13T18:00:00+01:00;Wuerzburg;tectake ARENA Wuerzburg;Stettiner Strasse 1, 97072 Wuerzburg;NETWORKING;OFFLINE;IfT Institut fuer Talententwicklung;Manual Events;https://www.parentum.de/;career,education,networking;Regional career orientation fair for students and parents.;true
manual-2026-mainfranken-ai-night;Mainfranken AI Community Night;2026-07-16T18:00:00+02:00;2026-07-16T21:00:00+02:00;Wuerzburg;ZDI Mainfranken;Sedanstrasse 27, 97082 Wuerzburg;MEETUP;OFFLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/ai-community-night-2026;ai,community,networking;Mock meetup for AI builders, founders and students in Mainfranken.;true
manual-2026-prompt-workshop;Prompt Engineering Praxisworkshop;2026-08-06T17:00:00+02:00;2026-08-06T20:00:00+02:00;Wuerzburg;Coworking Wuerzburg;Wuerzburg;WORKSHOP;OFFLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/prompt-engineering-praxisworkshop-2026;ai,prompting,workshop;Hands-on mock workshop for practical prompting and AI workflows.;true
manual-2026-cybersecurity-breakfast;Cybersecurity Breakfast Mainfranken;2026-09-10T08:30:00+02:00;2026-09-10T10:30:00+02:00;Schweinfurt;Digital Hub Schweinfurt;Schweinfurt;MEETUP;OFFLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/cybersecurity-breakfast-2026;cybersecurity,it-security,networking;Mock breakfast meetup about security basics for small and medium businesses.;true
manual-2026-industrial-ai-lab;Industrial AI Lab Day;2026-10-08T13:00:00+02:00;2026-10-08T18:00:00+02:00;Schweinfurt;THWS Campus Schweinfurt;Ignaz-Schoen-Strasse 11, 97421 Schweinfurt;WORKSHOP;OFFLINE;THWS;Manual Events;https://mainfrankenit.example/events/industrial-ai-lab-day-2026;industrial-ai,automation,students;Mock lab day for industrial AI prototypes and applied machine learning.;true
manual-2026-startup-pitch-tech;Mainfranken Tech Startup Pitch;2026-11-05T18:00:00+01:00;2026-11-05T21:30:00+01:00;Wuerzburg;Startbahn27;Wuerzburg;NETWORKING;OFFLINE;Startbahn27;Manual Events;https://mainfrankenit.example/events/mainfranken-tech-startup-pitch-2026;startup,pitch,networking;Mock pitch evening for software, AI and hardware startups.;true
manual-2026-cloud-native-meetup;Cloud Native Franken Meetup;2026-12-03T18:30:00+01:00;2026-12-03T21:00:00+01:00;Wuerzburg;Online and Wuerzburg;Wuerzburg;MEETUP;HYBRID;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/cloud-native-franken-meetup-2026;cloud,kubernetes,devops;Mock hybrid meetup about Kubernetes, observability and platform engineering.;true
manual-2026-whatsapp-test-java;WhatsApp Test Java Meetup;2026-07-03T18:00:00+02:00;2026-07-03T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/whatsapp-test-java-meetup-2026;java,ai,meetup;One-time manual test event for verifying Twilio notifications.;true
manual-2026-whatsapp-live-check;WhatsApp Live Check Java Meetup;2026-07-04T18:00:00+02:00;2026-07-04T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/whatsapp-live-check-java-meetup-2026;java,ai,meetup;Live manual test event added while notifications are enabled.;true
